drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms,targets
ci-1040,,,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3",MEK1; MEK2,ERK MAPK signaling,,,,PD-18435; CI 1040; PD-184352; CI-1040; 212631-79-3,MEK1; MEK2
ci-976,,,,,,,CI-976,ACAT1,inhibitor of acetyl-CoA acetyltransferase I,CI-976,ACAT1
ciclopirox,,,,,,,ciclopirox,RRM1,substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase,ciclopirox,RRM1
ciclosporin,,,,,,,ciclosporin,PPID,inhibitor of calcineurin by binding to cyclophilin D,ciclosporin,PPID
cid-5951923,,,,,,,CID-5951923,KLF5,modulator of KLF5 expression,CID-5951923,KLF5
cil41,,,,,,,CIL41,,screening hit,CIL41,NaN
cil55,,,,,,,CIL55,,screening hit,CIL55,NaN
cil55a,,,,,,,CIL55A,,screening hit,CIL55A,NaN
cil56,,,,,,,CIL56,,screening hit,CIL56,NaN
cil70,,,,,,,CIL70,,screening hit,CIL70,NaN
cimetidine,,,,,,,cimetidine,HRH2,inhibitor of histidine receptor H2,cimetidine,HRH2
cisplatin,,,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA crosslinker,DNA replication,,,,CIS-DDP; Cisplatin; Platinol; cis-Diammineplatinum(II) dichloride,DNA crosslinker
clofarabine,,,,,,,clofarabine,,inducer of DNA damage,clofarabine,NaN
cmk,,,CMK,KIN001-128,RSK2,ERK MAPK signaling,,,,CMK; KIN001-128,RSK2
col-3,,,,,,,COL-3,,analog of tetracycline,COL-3,NaN
compound 1541a,,,,,,,Compound 1541A,CASP3; CASP6; CASP7,"activators of executioner procaspases 3, 6, and 7",Compound 1541A,CASP6; CASP7; CASP3
compound 1b,,,,,,,compound 1B,,screening hit,compound 1B,NaN
compound 23 citrate,,,,,,,Compound 23 citrate,,analog of natural product cortistatin,Compound 23 citrate,NaN
compound 7d-cis,,,,,,,Compound 7d-cis,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport,Compound 7d-cis,XPO1
cp466722,,,CP466722,"CP-466722, CP 466722, 1080622-86-1",ATM,Genome integrity,,,,CP466722; CP 466722; 1080622-86-1; CP-466722,ATM
cp724714,,,CP724714,CP-724714,ERBB2,EGFR signaling,,,,CP-724714; CP724714,ERBB2
cr-1-31b,,,,,,,CR-1-31B,EIF4A2; EIF4E; EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,CR-1-31B,EIF4E; EIF4G1; EIF4A2
crizotinib,PF2341066,c-MET,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",MET; ALK; ROS1,RTK signaling,crizotinib,ALK; MET,inhibitor of c-MET and ALK,Crizotinib; PF-2341066; Xalkori; PF 2341066; PF2341066; crizotinib,ALK; ROS1; c-MET; MET
crizotinib:plx-4032 (2:1 mol/mol),,,,,,,crizotinib:PLX-4032 (2:1 mol/mol),ALK; MET; BRAF,inhibitor of c-MET and ALK;inhibitor of BRAF,crizotinib:PLX-4032 (2:1 mol/mol),ALK; BRAF; MET
cucurbitacin i,,,,,,,cucurbitacin I,,natural product; modulator of NFKB1 and STAT3 signaling,cucurbitacin I,NaN
cudc-101,,,CUDC-101,CUDC 101,HDAC1-10; EGFR; ERBB2,Other,,,,CUDC-101; CUDC 101,EGFR; HDAC1-10; ERBB2
curcumin,,,,,,,curcumin,,natural product; modulator of ROS; modulator of NF-kappa-B signaling,curcumin,NaN
cx-5461,,,CX-5461,"CX5461, CX 5461",RNA Polymerase 1,Other,,,,CX5461; CX 5461; CX-5461,RNA Polymerase 1
cyanoquinoline 11,,,,,,,cyanoquinoline 11,MAP3K8,inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells,cyanoquinoline 11,MAP3K8
cyclopamine,,,Cyclopamine,,SMO,Other,,,,Cyclopamine,SMO
cyclophosphamide,,,,,,,cyclophosphamide,,DNA alkylator,cyclophosphamide,NaN
cytarabine,,,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Antimetabolite,DNA replication,,,,U-19920; Arabinosyl Cytosine; Ara-Cytidine; Cytarabine,Antimetabolite
cytarabine hydrochloride,,,,,,,cytarabine hydrochloride,,inducer of DNA damage,cytarabine hydrochloride,NaN
cytochalasin b,,,,,,,cytochalasin B,,inhibitor of actin polymerization,cytochalasin B,NaN
dabrafenib,,,Dabrafenib,"GSK2118436, Tafinlar",BRAF,ERK MAPK signaling,dabrafenib,BRAF,inhibitor of BRAF,Tafinlar; dabrafenib; GSK2118436; Dabrafenib,BRAF
dacarbazine,,,,,,,dacarbazine,,DNA alkylator,dacarbazine,NaN
dacinostat,,,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation,,,,NVP-LAQ824; Dacinostat; LAQ824,HDAC1
dactolisib,,,Dactolisib,"NVP-BEZ235, BEZ235",PI3K (Class 1); MTORC1; MTORC2,PI3K/MTOR signaling,NVP-BEZ235,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of PI3K and mTOR kinase activity,Dactolisib; NVP-BEZ235; BEZ235,PIK3CA; MTOR; MTORC2; MTORC1; PIK3CB; PIK3CG; PI3K (Class 1); PIK3CD
daporinad,,,Daporinad,"APO866,  FK866, FK866",NAMPT ,Metabolism,daporinad,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,daporinad;  FK866; APO866; FK866; Daporinad,NAMPT ; NAMPT
darinaparsin,,,,,,,darinaparsin,,inducer of ROS; inhibitor of microtubule assembly,darinaparsin,NaN
dasatinib,,,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",ABL; SRC; Ephrins; PDGFR; KIT,Other,dasatinib,EPHA2; KIT; LCK; SRC; YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK",BMS-354825-03; dasatinib; Sprycel; BMS-354825; Dasatinib,EPHA2; LCK; Ephrins; YES1; PDGFR; SRC; KIT; ABL
dbeq,,,,,,,DBeQ,VCP,inhibitor of p97 in cells,DBeQ,VCP
decitabine,,,,,,,decitabine,DNMT1,inhibitor of DNA methyltransferase,decitabine,DNMT1
decitabine:carboplatin (1:1 mol/mol),,,,,,,decitabine:carboplatin (1:1 mol/mol),DNMT1,inhibitor of DNA methyltransferase;inducer of DNA damage,decitabine:carboplatin (1:1 mol/mol),DNMT1
decitabine:navitoclax (2:1 mol/mol),,,,,,,decitabine:navitoclax (2:1 mol/mol),DNMT1; BCL2; BCL2L1; BCL2L2,"inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",decitabine:navitoclax (2:1 mol/mol),BCL2; BCL2L2; DNMT1; BCL2L1
dexamethasone,,,,,,,dexamethasone,NR3C1,agonist of glucocorticoid receptor,dexamethasone,NR3C1
dinaciclib,,,,,,,dinaciclib,CDK1; CDK2; CDK5; CDK9,inhibitor of cyclin-dependent kinases,dinaciclib,CDK1; CDK2; CDK9; CDK5
dmog,,,DMOG,Dimethyloxalylglcine,HIF-PH,Metabolism,,,,Dimethyloxalylglcine; DMOG,HIF-PH
docetaxel,,,Docetaxel,"RP-56976, Taxotere",Microtubule stabiliser,Mitosis,docetaxel,,inhibitor of microtubule assembly,Taxotere; docetaxel; RP-56976; Docetaxel,Microtubule stabiliser
docetaxel:tanespimycin (2:1 mol/mol),,,,,,,docetaxel:tanespimycin (2:1 mol/mol),HSP90AA1,inhibitor of microtubule assembly;inhibitor of HSP90,docetaxel:tanespimycin (2:1 mol/mol),HSP90AA1
doramapimod,,,Doramapimod,"BIRB-796, BIRB 796",p38; JNK2,JNK and p38 signaling,BIRB-796,MAPK11; MAPK11; MAPK14,inhibitor of p38 MAPK,BIRB 796; BIRB-796; Doramapimod,p38; JNK2; MAPK11; MAPK14
doxorubicin,,,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",Anthracycline,DNA replication,doxorubicin,TOP2A,inhibitor of topoisomerase II,Doxil; Adriamycin; Doxorubicin; doxorubicin; Adriablastin; Doxorubicine; Rubex,TOP2A; Anthracycline
doxorubicin:navitoclax (2:1 mol/mol),,,,,,,doxorubicin:navitoclax (2:1 mol/mol),TOP2A; BCL2; BCL2L1; BCL2L2,"inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W",doxorubicin:navitoclax (2:1 mol/mol),BCL2; BCL2L2; TOP2A; BCL2L1
eht-1864,,,EHT-1864,EHT 1864,RAC1; RAC2; RAC3,Cytoskeleton,,,,EHT 1864; EHT-1864,RAC1; RAC2; RAC3
elcpk,,,,,,,ELCPK,,screening hit,ELCPK,NaN
elesclomol,,,Elesclomol,STA-4783,HSP90,Protein stability and degradation,,,,STA-4783; Elesclomol,HSP90
elocalcitol,,,,,,,elocalcitol,VDR,agonist of vitamin D receptor,elocalcitol,VDR
embelin,,,Embelin,"Emberine, Embelic acid",XIAP,Apoptosis regulation,,,,Embelin; Emberine; Embelic acid,XIAP
entinostat,,,Entinostat,MS-275,HDAC1; HDAC3,Chromatin histone acetylation,entinostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Entinostat; entinostat; MS-275,HDAC8; HDAC1; HDAC3; HDAC2; HDAC6
enzastaurin,,,Enzastaurin,LY317615,PKCB,"Other, kinases",,,,Enzastaurin; LY317615,PKCB
epigallocatechin-3-monogallate,,,,,,,epigallocatechin-3-monogallate,,natural product,epigallocatechin-3-monogallate,NaN
epothilone b,,,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",Microtubule stabiliser,Mitosis,,,,Patupilone; EpoB; Epothilone B; EPO906; GNF-PF-193,Microtubule stabiliser
erastin,,,,,,,erastin,SLC7A11; VDAC1; VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11,erastin,VDAC2; VDAC1; SLC7A11
erismodegib,,,,,,,erismodegib,,screening hit,erismodegib,NaN
erlotinib,Erlotinib,EGFR,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",EGFR,EGFR signaling,erlotinib,EGFR; ERBB2,inhibitor of EGFR and HER2,Tarceva; CP-358774; RG-1415; erlotinib; Ro-508231; Erlotinib; R-1415; OSI-774,EGFR; ERBB2
erlotinib:plx-4032 (2:1 mol/mol),,,,,,,erlotinib:PLX-4032 (2:1 mol/mol),EGFR; ERBB2; BRAF,inhibitor of EGFR and HER2;inhibitor of BRAF,erlotinib:PLX-4032 (2:1 mol/mol),BRAF; EGFR; ERBB2
etomoxir,,,,,,,etomoxir,CPT1A,inhibitor of carnitine palmitoyltransferase,etomoxir,CPT1A
etoposide,,,Etoposide,"Etopophos, Vepesid, Eposin, VP-16",TOP2,DNA replication,etoposide,TOP2A,inhibitor of topoisomerase II,Etopophos; Vepesid; etoposide; VP-16; Etoposide; Eposin,TOP2A; TOP2
etp-46464,,,,,,,ETP-46464,ATM; ATR,inhibitor of serine/threonine-protein kinase ATR,ETP-46464,ATR; ATM
fedratinib,,,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",JAK2,"Other, kinases",TG-101348,JAK2,inhibitor of Janus kinase 2,TG101348; TG-101348; SAR302503; SAR-302503; Fedratinib,JAK2
fgin-1-27,,,,,,,FGIN-1-27,TSPO,activator of peripheral benzodiazepine receptor/translocator protein,FGIN-1-27,TSPO
fh535,,,FH535,,PPARgamma; PPARdelta,WNT signaling,,,,FH535,PPARdelta; PPARgamma
fingolimod,,,,,,,fingolimod,S1PR1,inhibitor of sphingosine 1-phosphate receptor,fingolimod,S1PR1
fluorouracil,,,,,,,fluorouracil,TYMS,pyrimidine analog; inhibitor of thymidylate synthase,fluorouracil,TYMS
fluvastatin,,,,,,,fluvastatin,HMGCR,inhibitor of HMG-CoA reductase,fluvastatin,HMGCR
fmk,,,FMK,KIN001-242,RSK,"Other, kinases",,,,FMK; KIN001-242,RSK
foretinib,,,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",MET; KDR; TIE2; VEGFR3/FLT4; RON; PDGFR; FGFR1; EGFR,RTK signaling,foretinib,KDR; MET,inhibitor of MET and VEGFR2,foretinib; XL-880; GSK089; EXEL-2880; GSK1363089; Foretinib,KDR; PDGFR; RON; FGFR1; EGFR; VEGFR3/FLT4; MET; TIE2
fqi-1,,,,,,,FQI-1,,inhibitor of LSF1-mediated transcription,FQI-1,NaN
fqi-2,,,,,,,FQI-2,,inhibitor of LSF1-mediated transcription,FQI-2,NaN
fr-180204,,,FR-180204,"FR 180204, FR180204, ERK Inhibitor II",ERK1; ERK2,ERK MAPK signaling,,,,FR180204; FR 180204; ERK Inhibitor II; FR-180204,ERK1; ERK2
fsc231,,,,,,,FSC231,PICK1,inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1),FSC231,PICK1
fti-277,,,FTI-277,,Farnesyl-transferase (FNTA),Other,,,,FTI-277,Farnesyl-transferase (FNTA)
fulvestrant,,,,,,,fulvestrant,ESR1; GPER1,antagonist of the estrogen receptor,fulvestrant,ESR1; GPER1
fumonisin b1,,,,,,,fumonisin B1,CERS1; CERS2; CERS3; CERS4; CERS5; CERS6,inhibitor of ceramide synthase,fumonisin B1,CERS4; CERS5; CERS6; CERS3; CERS2; CERS1
gant-61,,,,,,,GANT-61,,inhibitor of hedgehog signaling pathway,GANT-61,NaN
gdc-0879,,,,,,,GDC-0879,BRAF,inhibitor of BRAF,GDC-0879,BRAF
gefitinib,,,Gefitinib,"ZD-1839, Iressa",EGFR,EGFR signaling,gefitinib,AKT1; EGFR,inhibitor of EGFR and AKT1,gefitinib; Gefitinib; Iressa; ZD-1839,AKT1; EGFR
gemcitabine,,,Gemcitabine,"Gemzar, LY-188011",Pyrimidine antimetabolite,DNA replication,gemcitabine,CMPK1; RRM1; TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",Gemcitabine; Gemzar; gemcitabine; LY-188011,CMPK1; TYMS; RRM1; Pyrimidine antimetabolite
genentech cpd 10,,,Genentech Cpd 10,,AURKA; AURKB,Mitosis,,,,Genentech Cpd 10,AURKA; AURKB
gmx-1778,,,,,,,GMX-1778,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,GMX-1778,NAMPT
gnf-2,,,GNF-2,KIN001-013,BCR-ABL,ABL signaling,,,,GNF-2; KIN001-013,BCR-ABL
gossypol,,,,,,,gossypol,BCL2; BCL2L1; LDHA; LDHB; LDHC,inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members,gossypol,BCL2; BCL2L1; LDHC; LDHA; LDHB
gsk-3 inhibitor ix,,,,,,,GSK-3 inhibitor IX,,inhibitor of JAK/STAT signaling,GSK-3 inhibitor IX,NaN
gsk-j4,,,,,,,GSK-J4,KDM6A; KDM6B,inhibitor of lysine-specific demethylases,GSK-J4,KDM6A; KDM6B
gsk1059615,,,,,,,GSK1059615,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of PI3K and mTOR kinase activity,GSK1059615,PIK3CA; MTOR; PIK3CB; PIK3CG; PIK3CD
gsk1070916,,,GSK1070916,GSK-1070916,AURKA; AURKC,Mitosis,,,,GSK1070916; GSK-1070916,AURKA; AURKC
gsk1904529a,,,GSK1904529A,"GSK-1904529A, GSK 1904529A",IGF1R; IR,IGFR signaling,,,,GSK 1904529A; GSK1904529A; GSK-1904529A,IR; IGF1R
gsk2636771,,,,,,,GSK2636771,PIK3CB,inhibitor of PI3K catalytic subunit beta,GSK2636771,PIK3CB
gsk269962a,,,GSK269962A,GSK 269962A,ROCK1; ROCK2,Cytoskeleton,,,,GSK269962A; GSK 269962A,ROCK2; ROCK1
gsk319347a,,,GSK319347A,"KIN001-135, IKK-3 inhibitor",IKK,Other,,,,GSK319347A; KIN001-135; IKK-3 inhibitor,IKK
gsk4112,,,,,,,GSK4112,NR1D1,antagonist of Rev-ErbAalpha,GSK4112,NR1D1
gsk429286a,,,GSK429286A,,ROCK1; ROCK2,Cytoskeleton,,,,GSK429286A,ROCK2; ROCK1
gsk461364,,,,,,,GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1),GSK461364,PLK1
gsk650394,,,GSK650394,"GSK-650394, GSK 650394",SGK2; SGK3,Other,,,,GSK-650394; GSK 650394; GSK650394,SGK2; SGK3
gsk690693,,,GSK690693,"GSK 690693, GSK-690693",AKT1; AKT2; AKT3,PI3K/MTOR signaling,,,,GSK 690693; GSK690693; GSK-690693,AKT2; AKT1; AKT3
gw-2580,,,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",CSF1R,RTK signaling,,,,GW-2580; GX2580; CFMS receptor tyrosine kinase inhibitor,CSF1R
gw-405833,,,,,,,GW-405833,CNR2,partial agonist of cannabinoid receptor 2,GW-405833,CNR2
gw-843682x,,,,,,,GW-843682X,PLK1; PLK3,inhibitor of PLK1 and PLK3,GW-843682X,PLK1; PLK3
gw441756,,,GW441756,GW 441756,NTRK1,RTK signaling,,,,GW 441756; GW441756,NTRK1
gw843682x,,,GW843682X,GW843682X (AN-13),PLK1,Cell cycle,,,,GW843682X; GW843682X (AN-13),PLK1
hbx-41108,,,,,,,HBX-41108,USP7,inhibitor of the deubiquitinase activity of USP7,HBX-41108,USP7
hc-067047,,,,,,,HC-067047,TRPV4,inhibitor of cation channel TRPV4,HC-067047,TRPV4
hg-5-113-01,,,HG-5-113-01,,LOK; LTK; TRCB; ABL(T315I),Other,,,,HG-5-113-01,LTK; LOK; TRCB; ABL(T315I)
hg-5-88-01,,,HG-5-88-01,,EGFR; ADCK4,"Other, kinases",,,,HG-5-88-01,ADCK4; EGFR
hg6-64-1,,,HG6-64-1,KIN001-206,BRAF,ERK MAPK signaling,,,,HG6-64-1; KIN001-206,BRAF
hli 373,,,,,,,HLI 373,MDM2,inhibitor of MDM2,HLI 373,MDM2
hyperforin,,,,,,,hyperforin,TRPC6,agonist of calcium-permeable ion channels,hyperforin,TRPC6
i-bet-762,,,I-BET-762,GSK525762A,BRD2; BRD3; BRD4,Chromatin other,GSK525762A,BRD2; BRD3; BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,I-BET-762; GSK525762A,BRD4; BRD2; BRD3
i-bet151,,,,,,,I-BET151,BRD2; BRD3; BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,I-BET151,BRD4; BRD2; BRD3
ibrutinib,,,,,,,ibrutinib,BTK,inhibitor of Bruton's tyrosine kinase,ibrutinib,BTK
ic-87114,,,,,,,IC-87114,PIK3CD,inhibitor of PI3K catalytic subunit delta,IC-87114,PIK3CD
icl1100013,,,ICL1100013,,N-myristoyltransferase 1/2,Other,,,,ICL1100013,N-myristoyltransferase 1/2
idelalisib,,,Idelalisib,"CAL-101, Zydelig",PI3Kdelta,PI3K/MTOR signaling,CAL-101,PIK3CD,inhibitor of PI3K catalytic subunit delta,Idelalisib; CAL-101; Zydelig,PI3Kdelta; PIK3CD
ifosfamide,,,,,,,ifosfamide,,DNA alkylator,ifosfamide,NaN
imatinib,,,Imatinib,"Gleevec, STI-571",ABL; KIT; PDGFR,RTK signaling,imatinib,ABL1; BCR; KIT,inhibitor of BCR-ABL1 and c-KIT,Imatinib; STI-571; imatinib; Gleevec,PDGFR; ABL1; KIT; BCR; ABL
importazole,,,,,,,importazole,KPNB1,inhibitor of importin,importazole,KPNB1
indisulam,,,,,,,indisulam,CA9,inhibitor of carbonic anhydrase isoform IX,indisulam,CA9
iox2,,,IOX2,"IOX-2, IOX 2, AK176060",EGLN1,Other,,,,IOX-2; IOX 2; IOX2; AK176060,EGLN1
ipa-3,,,IPA-3,IPA 3,PAK1,Cytoskeleton,,,,IPA 3; IPA-3,PAK1
ipr-456,,,,,,,IPR-456,PLAUR,inhibitor of the interaction of urokinase receptor with binding partners,IPR-456,PLAUR
irinotecan,Irinotecan,TOP1,,,,,,,,Irinotecan,TOP1
isoevodiamine,,,,,,,isoevodiamine,,natural product,isoevodiamine,NaN
isoliquiritigenin,,,,,,,isoliquiritigenin,,natural product,isoliquiritigenin,NaN
isonicotinohydroxamic acid,,,,,,,isonicotinohydroxamic acid,HDAC6,inhibitor of HDAC6,isonicotinohydroxamic acid,HDAC6
isox,,,,,,,ISOX,HDAC6,inhibitor of HDAC6,ISOX,HDAC6
isox:bortezomib (250:1 mol/mol),,,,,,,ISOX:bortezomib (250:1 mol/mol),HDAC6; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HDAC6;inhibitor of 26S proteasome,ISOX:bortezomib (250:1 mol/mol),PSMB5; PSMD2; PSMB2; PSMD1; PSMB1; HDAC6
ispinesib mesylate,,,Ispinesib Mesylate,SB-715992,KSP,Mitosis,,,,SB-715992; Ispinesib Mesylate,KSP
istradefylline,,,,,,,istradefylline,ADORA2A,antagonist of the adenosine A2A receptor,istradefylline,ADORA2A
itraconazole,,,,,,,itraconazole,,anti-fungal agent; inhibitor of hedgehog signaling pathway,itraconazole,NaN
iu1,,,,,,,IU1,USP14,inhibitor of the deubiquitinase activity of USP14,IU1,USP14
jnk inhibitor viii,,,JNK Inhibitor VIII,,JNK,JNK and p38 signaling,,,,JNK Inhibitor VIII,JNK
jnk-9l,,,JNK-9L,"KIN001-204, JNK inhibitor 9l",JNK2; JNK3,JNK and p38 signaling,,,,JNK inhibitor 9l; KIN001-204; JNK-9L,JNK2; JNK3
jq-1:carboplatin (1:1 mol/mol),,,,,,,JQ-1:carboplatin (1:1 mol/mol),BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage,JQ-1:carboplatin (1:1 mol/mol),BRDT
jq-1:mk-0752 (1:1 mol/mol),,,,,,,JQ-1:MK-0752 (1:1 mol/mol),BRDT; APH1A; NCSTN; PSEN1; PSENEN,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase,JQ-1:MK-0752 (1:1 mol/mol),PSEN1; BRDT; NCSTN; PSENEN; APH1A
jq-1:navitoclax (2:1 mol/mol),,,,,,,JQ-1:navitoclax (2:1 mol/mol),BRDT; BCL2; BCL2L1; BCL2L2,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W",JQ-1:navitoclax (2:1 mol/mol),BCL2; BCL2L2; BCL2L1; BRDT
jq-1:unc0638 (2:1 mol/mol),,,,,,,JQ-1:UNC0638 (2:1 mol/mol),BRDT; EHMT1; EHMT2,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase,JQ-1:UNC0638 (2:1 mol/mol),EHMT1; EHMT2; BRDT
jq-1:vorinostat (2:1 mol/mol),,,,,,,JQ-1:vorinostat (2:1 mol/mol),BRDT; HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",JQ-1:vorinostat (2:1 mol/mol),HDAC8; BRDT; HDAC1; HDAC3; HDAC2; HDAC6
jq1,,,JQ1,"JQ-1, (+)-JQ-1",BRD2; BRD3; BRD4; BRDT,Chromatin other,JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,JQ1; JQ-1; (+)-JQ-1,BRD4; BRD2; BRD3; BRDT
jq12,,,JQ12,,HDAC1; HDAC2,Chromatin histone acetylation,,,,JQ12,HDAC1; HDAC2
jw-480,,,,,,,JW-480,NCEH1,inhibitor of serine hydrolase enzyme NCEH,JW-480,NCEH1
jw-55,,,,,,,JW-55,TNKS,inhibitor of tankyrase,JW-55,TNKS
jw-7-24-1,,,JW-7-24-1,,LCK,"Other, kinases",,,,JW-7-24-1,LCK
jw-7-52-1,,,JW-7-52-1,,MTOR,PI3K/MTOR signaling,,,,JW-7-52-1,MTOR
jw-74,,,,,,,JW-74,,inhibitor of WNT signaling,JW-74,NaN
kh-cb19,,,,,,,KH-CB19,CLK1; CLK4,inhibitor of CDC2-like kinases 1 and 4,KH-CB19,CLK1; CLK4
khs101,,,,,,,KHS101,TACC3,"binder of TACC3, a component of the centrosome and mitotic spindle",KHS101,TACC3
ki8751,,,,,,,Ki8751,KDR; KIT; PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA",Ki8751,PDGFRA; KDR; KIT
kin001-236,,,KIN001-236,,Angiopoietin-1 receptor,Other,,,,KIN001-236,Angiopoietin-1 receptor
kin001-244,,,KIN001-244,PDK1 inhibitor 7,PDK1 (PDPK1),"Other, kinases",,,,KIN001-244; PDK1 inhibitor 7,PDK1 (PDPK1)
kin001-260,,,KIN001-260,"Bayer IKKb inhibitor, ACHP",IKKB,Other,,,,ACHP; Bayer IKKb inhibitor; KIN001-260,IKKB
kin001-266,,,KIN001-266,,MAP3K8,"Other, kinases",,,,KIN001-266,MAP3K8
kin001-270,,,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",CDK9,Cell cycle,,,,KIN001-270; CDK9-IN-1; CDK9 inhibitor,CDK9
ko-143,,,,,,,Ko-143,ABCG2,inhibitor of breast cancer resistance protein multidrug transporter (BCRP),Ko-143,ABCG2
kpt185,,,,,,,KPT185,XPO1,inhibitor of exportin 1,KPT185,XPO1
ku 0060648,,,,,,,KU 0060648,PRKDC,inhibitor of DNA-dependent protein kinase,KU 0060648,PRKDC
ku-0063794,,,,,,,KU-0063794,MTOR,inhibitor of mTOR,KU-0063794,MTOR
ku-55933,,,KU-55933,KU55933,ATM,Genome integrity,KU-55933,ATM,inhibitor of ataxia telangiectasia mutated (ATM),KU55933; KU-55933,ATM
ku-60019,,,,,,,KU-60019,ATM,inhibitor of ataxia telangiectasia mutated (ATM),KU-60019,ATM
kw-2449,,,,,,,KW-2449,AURKA; FLT3,inhibitor of FLT3 and AURKA,KW-2449,AURKA; FLT3
kx2-391,,,,,,,KX2-391,SRC,peptide mimetic; inhibitor of SRC activity in cells,KX2-391,SRC
l-685458,L-685458,GS,,,,,L-685458,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,L-685458,PSEN1; PSENEN; GS; NCSTN; APH1A
lapatinib,Lapatinib,EGFR,Lapatinib,"Tykerb, Tyverb",ERBB2; EGFR,EGFR signaling,lapatinib,EGFR; ERBB2,inhibitor of EGFR and HER2,Tyverb; lapatinib; Lapatinib; Tykerb,EGFR; ERBB2
lbh-589,,,,,,,LBH-589,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",LBH-589,HDAC8; HDAC1; HDAC3; HDAC2; HDAC6
lbw242,LBW242,XIAP,,,,,,,,LBW242,XIAP
le-135,,,,,,,LE-135,RARB,antagonist of retinoic acid receptor beta,LE-135,RARB
lenalidomide,,,Lenalidomide,"CDC-501, CC-5013, Revlimid",CRBN,Protein stability and degradation,,,,Lenalidomide; CDC-501; Revlimid; CC-5013,CRBN
lenvatinib,,,,,,,lenvatinib,FLT1; FLT3; KDR; KIT; PDGFRA; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",lenvatinib,KDR; PDGFRB; PDGFRA; KIT; FLT1; FLT3
leptomycin b,,,,,,,leptomycin B,XPO1,inhibitor of exportin 1,leptomycin B,XPO1
