drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms
cyclophosphamide,,,,,,,cyclophosphamide,,DNA alkylator,cyclophosphamide
cytarabine,,,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Antimetabolite,DNA replication,,,,U-19920; Arabinosyl Cytosine; Ara-Cytidine; Cytarabine
cytarabine hydrochloride,,,,,,,cytarabine hydrochloride,,inducer of DNA damage,cytarabine hydrochloride
cytochalasin b,,,,,,,cytochalasin B,,inhibitor of actin polymerization,cytochalasin B
dabrafenib,,,Dabrafenib,"GSK2118436, Tafinlar",BRAF,ERK MAPK signaling,dabrafenib,BRAF,inhibitor of BRAF,Tafinlar; dabrafenib; GSK2118436; Dabrafenib
dacarbazine,,,,,,,dacarbazine,,DNA alkylator,dacarbazine
dacinostat,,,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation,,,,NVP-LAQ824; Dacinostat; LAQ824
dactolisib,,,Dactolisib,"NVP-BEZ235, BEZ235",PI3K (Class 1); MTORC1; MTORC2,PI3K/MTOR signaling,NVP-BEZ235,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of PI3K and mTOR kinase activity,Dactolisib; NVP-BEZ235; BEZ235
daporinad,,,Daporinad,"APO866,  FK866, FK866",NAMPT ,Metabolism,daporinad,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,daporinad;  FK866; APO866; FK866; Daporinad
darinaparsin,,,,,,,darinaparsin,,inducer of ROS; inhibitor of microtubule assembly,darinaparsin
dasatinib,,,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel",ABL; SRC; Ephrins; PDGFR; KIT,Other,dasatinib,EPHA2; KIT; LCK; SRC; YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK",BMS-354825-03; dasatinib; Sprycel; BMS-354825; Dasatinib
dbeq,,,,,,,DBeQ,VCP,inhibitor of p97 in cells,DBeQ
decitabine,,,,,,,decitabine,DNMT1,inhibitor of DNA methyltransferase,decitabine
decitabine:carboplatin (1:1 mol/mol),,,,,,,decitabine:carboplatin (1:1 mol/mol),DNMT1,inhibitor of DNA methyltransferase;inducer of DNA damage,decitabine:carboplatin (1:1 mol/mol)
decitabine:navitoclax (2:1 mol/mol),,,,,,,decitabine:navitoclax (2:1 mol/mol),DNMT1; BCL2; BCL2L1; BCL2L2,"inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",decitabine:navitoclax (2:1 mol/mol)
dexamethasone,,,,,,,dexamethasone,NR3C1,agonist of glucocorticoid receptor,dexamethasone
dinaciclib,,,,,,,dinaciclib,CDK1; CDK2; CDK5; CDK9,inhibitor of cyclin-dependent kinases,dinaciclib
dmog,,,DMOG,Dimethyloxalylglcine,HIF-PH,Metabolism,,,,Dimethyloxalylglcine; DMOG
docetaxel,,,Docetaxel,"RP-56976, Taxotere",Microtubule stabiliser,Mitosis,docetaxel,,inhibitor of microtubule assembly,Taxotere; docetaxel; RP-56976; Docetaxel
docetaxel:tanespimycin (2:1 mol/mol),,,,,,,docetaxel:tanespimycin (2:1 mol/mol),HSP90AA1,inhibitor of microtubule assembly;inhibitor of HSP90,docetaxel:tanespimycin (2:1 mol/mol)
doramapimod,,,Doramapimod,"BIRB-796, BIRB 796",p38; JNK2,JNK and p38 signaling,BIRB-796,MAPK11; MAPK11; MAPK14,inhibitor of p38 MAPK,BIRB 796; BIRB-796; Doramapimod
doxorubicin,,,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",Anthracycline,DNA replication,doxorubicin,TOP2A,inhibitor of topoisomerase II,Doxil; Adriamycin; Doxorubicin; doxorubicin; Adriablastin; Doxorubicine; Rubex
doxorubicin:navitoclax (2:1 mol/mol),,,,,,,doxorubicin:navitoclax (2:1 mol/mol),TOP2A; BCL2; BCL2L1; BCL2L2,"inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W",doxorubicin:navitoclax (2:1 mol/mol)
eht-1864,,,EHT-1864,EHT 1864,RAC1; RAC2; RAC3,Cytoskeleton,,,,EHT 1864; EHT-1864
elcpk,,,,,,,ELCPK,,screening hit,ELCPK
elesclomol,,,Elesclomol,STA-4783,HSP90,Protein stability and degradation,,,,STA-4783; Elesclomol
elocalcitol,,,,,,,elocalcitol,VDR,agonist of vitamin D receptor,elocalcitol
embelin,,,Embelin,"Emberine, Embelic acid",XIAP,Apoptosis regulation,,,,Embelin; Emberine; Embelic acid
entinostat,,,Entinostat,MS-275,HDAC1; HDAC3,Chromatin histone acetylation,entinostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Entinostat; entinostat; MS-275
enzastaurin,,,Enzastaurin,LY317615,PKCB,"Other, kinases",,,,Enzastaurin; LY317615
epigallocatechin-3-monogallate,,,,,,,epigallocatechin-3-monogallate,,natural product,epigallocatechin-3-monogallate
epothilone b,,,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",Microtubule stabiliser,Mitosis,,,,Patupilone; EpoB; Epothilone B; EPO906; GNF-PF-193
erastin,,,,,,,erastin,SLC7A11; VDAC1; VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11,erastin
erismodegib,,,,,,,erismodegib,,screening hit,erismodegib
erlotinib,Erlotinib,EGFR,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",EGFR,EGFR signaling,erlotinib,EGFR; ERBB2,inhibitor of EGFR and HER2,Tarceva; CP-358774; RG-1415; erlotinib; Ro-508231; Erlotinib; R-1415; OSI-774
erlotinib:plx-4032 (2:1 mol/mol),,,,,,,erlotinib:PLX-4032 (2:1 mol/mol),EGFR; ERBB2; BRAF,inhibitor of EGFR and HER2;inhibitor of BRAF,erlotinib:PLX-4032 (2:1 mol/mol)
etomoxir,,,,,,,etomoxir,CPT1A,inhibitor of carnitine palmitoyltransferase,etomoxir
etoposide,,,Etoposide,"Etopophos, Vepesid, Eposin, VP-16",TOP2,DNA replication,etoposide,TOP2A,inhibitor of topoisomerase II,Etopophos; Vepesid; etoposide; VP-16; Etoposide; Eposin
etp-46464,,,,,,,ETP-46464,ATM; ATR,inhibitor of serine/threonine-protein kinase ATR,ETP-46464
fedratinib,,,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",JAK2,"Other, kinases",TG-101348,JAK2,inhibitor of Janus kinase 2,TG101348; TG-101348; SAR302503; SAR-302503; Fedratinib
fgin-1-27,,,,,,,FGIN-1-27,TSPO,activator of peripheral benzodiazepine receptor/translocator protein,FGIN-1-27
fh535,,,FH535,,PPARgamma; PPARdelta,WNT signaling,,,,FH535
fingolimod,,,,,,,fingolimod,S1PR1,inhibitor of sphingosine 1-phosphate receptor,fingolimod
fluorouracil,,,,,,,fluorouracil,TYMS,pyrimidine analog; inhibitor of thymidylate synthase,fluorouracil
fluvastatin,,,,,,,fluvastatin,HMGCR,inhibitor of HMG-CoA reductase,fluvastatin
fmk,,,FMK,KIN001-242,RSK,"Other, kinases",,,,FMK; KIN001-242
foretinib,,,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",MET; KDR; TIE2; VEGFR3/FLT4; RON; PDGFR; FGFR1; EGFR,RTK signaling,foretinib,KDR; MET,inhibitor of MET and VEGFR2,foretinib; XL-880; GSK089; EXEL-2880; GSK1363089; Foretinib
fqi-1,,,,,,,FQI-1,,inhibitor of LSF1-mediated transcription,FQI-1
fqi-2,,,,,,,FQI-2,,inhibitor of LSF1-mediated transcription,FQI-2
fr-180204,,,FR-180204,"FR 180204, FR180204, ERK Inhibitor II",ERK1; ERK2,ERK MAPK signaling,,,,FR180204; FR 180204; ERK Inhibitor II; FR-180204
fsc231,,,,,,,FSC231,PICK1,inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1),FSC231
fti-277,,,FTI-277,,Farnesyl-transferase (FNTA),Other,,,,FTI-277
fulvestrant,,,,,,,fulvestrant,ESR1; GPER1,antagonist of the estrogen receptor,fulvestrant
fumonisin b1,,,,,,,fumonisin B1,CERS1; CERS2; CERS3; CERS4; CERS5; CERS6,inhibitor of ceramide synthase,fumonisin B1
gant-61,,,,,,,GANT-61,,inhibitor of hedgehog signaling pathway,GANT-61
gdc-0879,,,,,,,GDC-0879,BRAF,inhibitor of BRAF,GDC-0879
gefitinib,,,Gefitinib,"ZD-1839, Iressa",EGFR,EGFR signaling,gefitinib,AKT1; EGFR,inhibitor of EGFR and AKT1,gefitinib; Gefitinib; Iressa; ZD-1839
gemcitabine,,,Gemcitabine,"Gemzar, LY-188011",Pyrimidine antimetabolite,DNA replication,gemcitabine,CMPK1; RRM1; TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",Gemcitabine; Gemzar; gemcitabine; LY-188011
genentech cpd 10,,,Genentech Cpd 10,,AURKA; AURKB,Mitosis,,,,Genentech Cpd 10
gmx-1778,,,,,,,GMX-1778,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,GMX-1778
gnf-2,,,GNF-2,KIN001-013,BCR-ABL,ABL signaling,,,,GNF-2; KIN001-013
gossypol,,,,,,,gossypol,BCL2; BCL2L1; LDHA; LDHB; LDHC,inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members,gossypol
gsk-3 inhibitor ix,,,,,,,GSK-3 inhibitor IX,,inhibitor of JAK/STAT signaling,GSK-3 inhibitor IX
gsk-j4,,,,,,,GSK-J4,KDM6A; KDM6B,inhibitor of lysine-specific demethylases,GSK-J4
gsk1059615,,,,,,,GSK1059615,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of PI3K and mTOR kinase activity,GSK1059615
gsk1070916,,,GSK1070916,GSK-1070916,AURKA; AURKC,Mitosis,,,,GSK1070916; GSK-1070916
gsk1904529a,,,GSK1904529A,"GSK-1904529A, GSK 1904529A",IGF1R; IR,IGFR signaling,,,,GSK 1904529A; GSK1904529A; GSK-1904529A
gsk2636771,,,,,,,GSK2636771,PIK3CB,inhibitor of PI3K catalytic subunit beta,GSK2636771
gsk269962a,,,GSK269962A,GSK 269962A,ROCK1; ROCK2,Cytoskeleton,,,,GSK269962A; GSK 269962A
gsk319347a,,,GSK319347A,"KIN001-135, IKK-3 inhibitor",IKK,Other,,,,GSK319347A; KIN001-135; IKK-3 inhibitor
gsk4112,,,,,,,GSK4112,NR1D1,antagonist of Rev-ErbAalpha,GSK4112
gsk429286a,,,GSK429286A,,ROCK1; ROCK2,Cytoskeleton,,,,GSK429286A
gsk461364,,,,,,,GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1),GSK461364
gsk650394,,,GSK650394,"GSK-650394, GSK 650394",SGK2; SGK3,Other,,,,GSK-650394; GSK 650394; GSK650394
gsk690693,,,GSK690693,"GSK 690693, GSK-690693",AKT1; AKT2; AKT3,PI3K/MTOR signaling,,,,GSK 690693; GSK690693; GSK-690693
gw-2580,,,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",CSF1R,RTK signaling,,,,GW-2580; GX2580; CFMS receptor tyrosine kinase inhibitor
gw-405833,,,,,,,GW-405833,CNR2,partial agonist of cannabinoid receptor 2,GW-405833
gw-843682x,,,,,,,GW-843682X,PLK1; PLK3,inhibitor of PLK1 and PLK3,GW-843682X
gw441756,,,GW441756,GW 441756,NTRK1,RTK signaling,,,,GW 441756; GW441756
gw843682x,,,GW843682X,GW843682X (AN-13),PLK1,Cell cycle,,,,GW843682X; GW843682X (AN-13)
hbx-41108,,,,,,,HBX-41108,USP7,inhibitor of the deubiquitinase activity of USP7,HBX-41108
hc-067047,,,,,,,HC-067047,TRPV4,inhibitor of cation channel TRPV4,HC-067047
hg-5-113-01,,,HG-5-113-01,,LOK; LTK; TRCB; ABL(T315I),Other,,,,HG-5-113-01
hg-5-88-01,,,HG-5-88-01,,EGFR; ADCK4,"Other, kinases",,,,HG-5-88-01
hg6-64-1,,,HG6-64-1,KIN001-206,BRAF,ERK MAPK signaling,,,,HG6-64-1; KIN001-206
hli 373,,,,,,,HLI 373,MDM2,inhibitor of MDM2,HLI 373
hyperforin,,,,,,,hyperforin,TRPC6,agonist of calcium-permeable ion channels,hyperforin
i-bet-762,,,I-BET-762,GSK525762A,BRD2; BRD3; BRD4,Chromatin other,GSK525762A,BRD2; BRD3; BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,I-BET-762; GSK525762A
i-bet151,,,,,,,I-BET151,BRD2; BRD3; BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,I-BET151
ibrutinib,,,,,,,ibrutinib,BTK,inhibitor of Bruton's tyrosine kinase,ibrutinib
ic-87114,,,,,,,IC-87114,PIK3CD,inhibitor of PI3K catalytic subunit delta,IC-87114
icl1100013,,,ICL1100013,,N-myristoyltransferase 1/2,Other,,,,ICL1100013
idelalisib,,,Idelalisib,"CAL-101, Zydelig",PI3Kdelta,PI3K/MTOR signaling,CAL-101,PIK3CD,inhibitor of PI3K catalytic subunit delta,Idelalisib; CAL-101; Zydelig
ifosfamide,,,,,,,ifosfamide,,DNA alkylator,ifosfamide
imatinib,,,Imatinib,"Gleevec, STI-571",ABL; KIT; PDGFR,RTK signaling,imatinib,ABL1; BCR; KIT,inhibitor of BCR-ABL1 and c-KIT,Imatinib; STI-571; imatinib; Gleevec
importazole,,,,,,,importazole,KPNB1,inhibitor of importin,importazole
indisulam,,,,,,,indisulam,CA9,inhibitor of carbonic anhydrase isoform IX,indisulam
iox2,,,IOX2,"IOX-2, IOX 2, AK176060",EGLN1,Other,,,,IOX-2; IOX 2; IOX2; AK176060
ipa-3,,,IPA-3,IPA 3,PAK1,Cytoskeleton,,,,IPA 3; IPA-3
ipr-456,,,,,,,IPR-456,PLAUR,inhibitor of the interaction of urokinase receptor with binding partners,IPR-456
irinotecan,Irinotecan,TOP1,,,,,,,,Irinotecan
isoevodiamine,,,,,,,isoevodiamine,,natural product,isoevodiamine
isoliquiritigenin,,,,,,,isoliquiritigenin,,natural product,isoliquiritigenin
isonicotinohydroxamic acid,,,,,,,isonicotinohydroxamic acid,HDAC6,inhibitor of HDAC6,isonicotinohydroxamic acid
isox,,,,,,,ISOX,HDAC6,inhibitor of HDAC6,ISOX
isox:bortezomib (250:1 mol/mol),,,,,,,ISOX:bortezomib (250:1 mol/mol),HDAC6; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HDAC6;inhibitor of 26S proteasome,ISOX:bortezomib (250:1 mol/mol)
ispinesib mesylate,,,Ispinesib Mesylate,SB-715992,KSP,Mitosis,,,,SB-715992; Ispinesib Mesylate
istradefylline,,,,,,,istradefylline,ADORA2A,antagonist of the adenosine A2A receptor,istradefylline
itraconazole,,,,,,,itraconazole,,anti-fungal agent; inhibitor of hedgehog signaling pathway,itraconazole
iu1,,,,,,,IU1,USP14,inhibitor of the deubiquitinase activity of USP14,IU1
jnk inhibitor viii,,,JNK Inhibitor VIII,,JNK,JNK and p38 signaling,,,,JNK Inhibitor VIII
jnk-9l,,,JNK-9L,"KIN001-204, JNK inhibitor 9l",JNK2; JNK3,JNK and p38 signaling,,,,JNK inhibitor 9l; KIN001-204; JNK-9L
jq-1:carboplatin (1:1 mol/mol),,,,,,,JQ-1:carboplatin (1:1 mol/mol),BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage,JQ-1:carboplatin (1:1 mol/mol)
jq-1:mk-0752 (1:1 mol/mol),,,,,,,JQ-1:MK-0752 (1:1 mol/mol),BRDT; APH1A; NCSTN; PSEN1; PSENEN,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase,JQ-1:MK-0752 (1:1 mol/mol)
jq-1:navitoclax (2:1 mol/mol),,,,,,,JQ-1:navitoclax (2:1 mol/mol),BRDT; BCL2; BCL2L1; BCL2L2,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W",JQ-1:navitoclax (2:1 mol/mol)
jq-1:unc0638 (2:1 mol/mol),,,,,,,JQ-1:UNC0638 (2:1 mol/mol),BRDT; EHMT1; EHMT2,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase,JQ-1:UNC0638 (2:1 mol/mol)
jq-1:vorinostat (2:1 mol/mol),,,,,,,JQ-1:vorinostat (2:1 mol/mol),BRDT; HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",JQ-1:vorinostat (2:1 mol/mol)
jq1,,,JQ1,"JQ-1, (+)-JQ-1",BRD2; BRD3; BRD4; BRDT,Chromatin other,JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,JQ1; JQ-1; (+)-JQ-1
jq12,,,JQ12,,HDAC1; HDAC2,Chromatin histone acetylation,,,,JQ12
jw-480,,,,,,,JW-480,NCEH1,inhibitor of serine hydrolase enzyme NCEH,JW-480
jw-55,,,,,,,JW-55,TNKS,inhibitor of tankyrase,JW-55
jw-7-24-1,,,JW-7-24-1,,LCK,"Other, kinases",,,,JW-7-24-1
jw-7-52-1,,,JW-7-52-1,,MTOR,PI3K/MTOR signaling,,,,JW-7-52-1
jw-74,,,,,,,JW-74,,inhibitor of WNT signaling,JW-74
kh-cb19,,,,,,,KH-CB19,CLK1; CLK4,inhibitor of CDC2-like kinases 1 and 4,KH-CB19
khs101,,,,,,,KHS101,TACC3,"binder of TACC3, a component of the centrosome and mitotic spindle",KHS101
ki8751,,,,,,,Ki8751,KDR; KIT; PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA",Ki8751
kin001-236,,,KIN001-236,,Angiopoietin-1 receptor,Other,,,,KIN001-236
kin001-244,,,KIN001-244,PDK1 inhibitor 7,PDK1 (PDPK1),"Other, kinases",,,,KIN001-244; PDK1 inhibitor 7
kin001-260,,,KIN001-260,"Bayer IKKb inhibitor, ACHP",IKKB,Other,,,,ACHP; Bayer IKKb inhibitor; KIN001-260
kin001-266,,,KIN001-266,,MAP3K8,"Other, kinases",,,,KIN001-266
kin001-270,,,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",CDK9,Cell cycle,,,,KIN001-270; CDK9-IN-1; CDK9 inhibitor
ko-143,,,,,,,Ko-143,ABCG2,inhibitor of breast cancer resistance protein multidrug transporter (BCRP),Ko-143
kpt185,,,,,,,KPT185,XPO1,inhibitor of exportin 1,KPT185
ku 0060648,,,,,,,KU 0060648,PRKDC,inhibitor of DNA-dependent protein kinase,KU 0060648
ku-0063794,,,,,,,KU-0063794,MTOR,inhibitor of mTOR,KU-0063794
ku-55933,,,KU-55933,KU55933,ATM,Genome integrity,KU-55933,ATM,inhibitor of ataxia telangiectasia mutated (ATM),KU55933; KU-55933
ku-60019,,,,,,,KU-60019,ATM,inhibitor of ataxia telangiectasia mutated (ATM),KU-60019
kw-2449,,,,,,,KW-2449,AURKA; FLT3,inhibitor of FLT3 and AURKA,KW-2449
kx2-391,,,,,,,KX2-391,SRC,peptide mimetic; inhibitor of SRC activity in cells,KX2-391
l-685458,L-685458,GS,,,,,L-685458,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,L-685458
lapatinib,Lapatinib,EGFR,Lapatinib,"Tykerb, Tyverb",ERBB2; EGFR,EGFR signaling,lapatinib,EGFR; ERBB2,inhibitor of EGFR and HER2,Tyverb; lapatinib; Lapatinib; Tykerb
lbh-589,,,,,,,LBH-589,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",LBH-589
lbw242,LBW242,XIAP,,,,,,,,LBW242
le-135,,,,,,,LE-135,RARB,antagonist of retinoic acid receptor beta,LE-135
lenalidomide,,,Lenalidomide,"CDC-501, CC-5013, Revlimid",CRBN,Protein stability and degradation,,,,Lenalidomide; CDC-501; Revlimid; CC-5013
lenvatinib,,,,,,,lenvatinib,FLT1; FLT3; KDR; KIT; PDGFRA; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",lenvatinib
leptomycin b,,,,,,,leptomycin B,XPO1,inhibitor of exportin 1,leptomycin B
lestaurtinib,,,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555",FLT3; JAK2; NTRK1; NTRK2; NTRK3,"Other, kinases",,,,A-154475; SPM-924; CEP-701; Lestaurtinib; KT-555; SP-924
lfm-a13,,,LFM-A13,DDE-28,BTK,"Other, kinases",,,,DDE-28; LFM-A13
linifanib,,,Linifanib,"ABT-869, ABT 869",VEGFR1; VEGFR2; VEGFR3; CSF1R; FLT3; KIT,RTK signaling,linifanib,FLT1; FLT3; KDR,inhibitor of VEGFRs,ABT-869; ABT 869; Linifanib; linifanib
linsitinib,,,Linsitinib,"OSI-906, ASP-7487",IGF1R,IGFR signaling,linsitinib,IGF1R; INSR,inhibitor of insulin-like growth factor 1 receptor and insulin receptor,OSI-906; linsitinib; Linsitinib; ASP-7487
lomeguatrib,,,,,,,lomeguatrib,MGMT,inhibitor of methylguanine-DNA methyltransferase,lomeguatrib
lovastatin,,,,,,,lovastatin,HMGCR,inhibitor of HMG-CoA reductase,lovastatin
lrrk2-in-1,,,,,,,LRRK2-IN-1,DCLK1; LRRK2,inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase,LRRK2-IN-1
luminespib,,,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",HSP90,Protein stability and degradation,,,,"Luminespib;  AUY; AUY922; VER-52296,NVP-AUY922"
ly-2157299,,,,,,,LY-2157299,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,LY-2157299
ly-2183240,,,,,,,LY-2183240,FAAH,inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake,LY-2183240
manumycin a,,,,,,,manumycin A,FNTA; FNTB,inhibitor of RAS farnesyltransferase,manumycin A
marinopyrrole a,,,,,,,marinopyrrole A,MCL1,natural product; putative inhibitor of MCL1,marinopyrrole A
masitinib,,,Masitinib,"AB1010, Masivet",KIT; PDGFRA; PDGFRB,"Other, kinases",masitinib,KIT; PDGFRA; PDGFRB,"inhibitor of c-KIT, PDGFRA, and PDGFRB",Masivet; Masitinib; masitinib; AB1010
mdivi-1,,,,,,,Mdivi-1,DNM1,inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor,Mdivi-1
merck60,,,,,,,Merck60,HDAC1; HDAC2,inhibitor of HDAC1 and HDAC2,Merck60
methotrexate,,,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",Antimetabolite,DNA replication,methotrexate,DHFR,inhibitor of dihydrofolate reductase,Methotrexate; Folex; Rheumatrex; Trexall; methotrexate; Abitrexate; Amethopterin
methylstat,,,,,,,methylstat,KDM3A; KDM4A; KDM4B; KDM4C; KDM4D,inhibitor of lysine specific demethylases,methylstat
mg-132,,,MG-132,"LLL cpd, MG 132, MG132",Proteasome; CAPN1,Protein stability and degradation,MG-132,PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of the proteosome,MG-132; MG132; MG 132; LLL cpd
mgcd-265,,,,,,,MGCD-265,FLT1; FLT3; KDR; MET,inhibitor of c-MET and VEGFRs,MGCD-265
mi-1,,,,,,,MI-1,MEN1,binder of menin; inhibitor of menin-MLL fusion protein,MI-1
mi-2,,,,,,,MI-2,MEN1,binder of menin; inhibitor of menin-MLL fusion protein,MI-2
midostaurin,,,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251",PKC; PPK; FLT1; c-FGR; others,Other,,,,CGP-41251; PKC412; Midostaurin; benzoylstaurosporine
mitomycin,,,,,,,mitomycin,,DNA crosslinker,mitomycin
mitomycin-c,,,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",DNA crosslinker,DNA replication,,,,MMC; Mytozytrex; Mitomycin-C; Mitosol; NSC-26980; Mitozytrex
mk-0752,,,,,,,MK-0752,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,MK-0752
mk-1775,,,,,,,MK-1775,WEE1,inhibitor of WEE1,MK-1775
mk-2206,,,MK-2206,"MK 2206, MK2206",AKT1; AKT2,PI3K/MTOR signaling,MK-2206,AKT1,inhibitor of AKT1,MK 2206; MK-2206; MK2206
ml006,,,,,,,ML006,S1PR3,agonist of sphingosine 1-phosphate receptor 3,ML006
ml029,,,,,,,ML029,,inhibitor of antigen receptor-mediated NFkappaB activity,ML029
ml031,,,,,,,ML031,S1PR2,inhibitor of sphingosine 1-phosphate receptor 2,ML031
ml050,,,,,,,ML050,GPER1,antagonist of GPR30,ML050
ml083,,,,,,,ML083,PKM,activator of muscle pyruvate kinase,ML083
ml162,,,,,,,ML162,,selectively kills engineered cells expressing mutant HRAS,ML162
ml203,,,,,,,ML203,PKM,activator of muscle pyruvate kinase (PKM2),ML203
ml210,,,,,,,ML210,,selectively kills engineered cells expressing mutant HRAS,ML210
ml239,,,,,,,ML239,,ML239; inhibitor of breast cancer stem cell proliferation,ML239
ml258,,,,,,,ML258,BCL2L10,inhibitor of BIM-BCL-B interaction,ML258
ml311,,,,,,,ML311,MCL1,inhibitor of MCL1,ML311
ml312,,,,,,,ML312,SCARB1,"inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake",ML312
ml320,,,,,,,ML320,GSK3B,inhibitor of GSK3 beta,ML320
ml334 diastereomer,,,,,,,ML334 diastereomer,KEAP1; NFE2L2,inhibitor of KEAP1-NFE2L2 protein-protein interaction,ML334 diastereomer
mln2238,,,,,,,MLN2238,PSMB5,inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site,MLN2238
mln2480,,,,,,,MLN2480,ARAF; BRAF; RAF1,inhibitor of RAF kinases,MLN2480
momelotinib,,,,,,,momelotinib,JAK1; JAK2,inhibitor of Janus kinases 1 and 2,momelotinib
motesanib,,,Motesanib,"AMG-706, AMG 706, AMG706",VEGFR; RET; KIT; PDGFR,RTK signaling,,,,AMG-706; AMG 706; AMG706; Motesanib
mps-1-in-1,,,MPS-1-IN-1,,MPS1,Mitosis,,,,MPS-1-IN-1
mst-312,,,,,,,MST-312,TERT,inhibitor of telomerase reverse transcriptase,MST-312
myricetin,,,,,,,myricetin,,flavonoid antioxidant,myricetin
myriocin,,,,,,,myriocin,SPTLC1; SPTLC2; SPTLC3,inhibitor of serine palmitoyltransferase,myriocin
n9-isopropylolomoucine,,,,,,,N9-isopropylolomoucine,CCNB1; CDK1; CDK5; CDK5R1,inhibitor of CDK1/cyclin B and CDK5/p35 complexes,N9-isopropylolomoucine
nakiterpiosin,,,,,,,nakiterpiosin,,natural product; inhibitor of microtubule assembly,nakiterpiosin
narciclasine,,,,,,,narciclasine,RHOA,activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling,narciclasine
navitoclax,,,Navitoclax,"ABT-263, ABT263, ABT 263",BCL2; BCL-XL; BCL-W,Apoptosis regulation,navitoclax,BCL2; BCL2L1; BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W",ABT263; ABT-263; ABT 263; navitoclax; Navitoclax
