alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
cct007093,Not Clinically Relevant
cgp-082996,Not Clinically Relevant
iox2,Not Clinically Relevant
fr-180204,Not Clinically Relevant
ci-1040,Not Clinically Relevant
kin001-236,Not Clinically Relevant
jw-7-52-1,Not Clinically Relevant
jnk inhibitor viii,Not Clinically Relevant
whi-p97,Not Clinically Relevant
xav939,Not Clinically Relevant
afatinib,EGFR and ErbB2 inhibitor
tozasertib,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
tak-715,Not Clinically Relevant
vismodegib,Hedgehog (Smoothened) antagonist (GDC-0449)
z-llnle-cho,Not Clinically Relevant
ro-3306,Not Clinically Relevant
bryostatin 1,Not Clinically Relevant
bix02189,Not Clinically Relevant
sb216763,Not Clinically Relevant
681640,Not Clinically Relevant
cp724714,Not Clinically Relevant
rapamycin,"rapamycin, mTOR inhibitor"
dabrafenib,Braf (V600E) inhibitor
motesanib,Not Clinically Relevant
pelitinib,Not Clinically Relevant
az628,Not Clinically Relevant
kin001-260,Not Clinically Relevant
gnf-2,Not Clinically Relevant
qs11,Not Clinically Relevant
rtrail,Not Clinically Relevant
ql-xi-92,Not Clinically Relevant
t0901317,Not Clinically Relevant
pd173074,Not Clinically Relevant
nutlin-3a (-),Not Clinically Relevant
cetuximab,Not Clinically Relevant
y-39983,Not Clinically Relevant
idelalisib,"Idelalisib,  PI3K/p110δ inhibitor"
wz-1-84,Not Clinically Relevant
cyclopamine,Not Clinically Relevant
vx-11e,Not Clinically Relevant
gw441756,Not Clinically Relevant
vnlg/124,Not Clinically Relevant
